row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts
train-5266,train,1,"Airport to ready ho gaya hai, aage chalke iska owner bhi Adani hi hoga",एयरपोर्ट तो बनकर तैयार हो गया है आगे चलकर इसका मालिक भी अडानी ही होगा,0.0072,0.0104,-0.0031,1
train-2368,train,1,Aapki muskran bahut cute lagti hai,आपकी मुस्कान बहुत प्यारी लगती है,0.0046,0.0053,-0.0007,1
train-10220,train,0,Bap bap hota hai bhosdi ke,बाप बाप होता है भोसड़ी के,0.9993,0.9992,0.0,1
train-9170,train,1,"Tum hansi reho muskurate reho, naache reho gate reho sadha khil khilaate reho hamesha hansi he reho... meri kya log tumhe hi pagal samajhege 😁😁😁😝","तूम हँसते रहो मुस्कुराते रहो, नाचते रहो गाते रहो सदा खिल खिलाते रहो हमेशा हंसते ही रहो… मेरा क्या लोग तुम्हें ही पागल समझेंगे😁😁😁😝",0.0085,0.0178,-0.0093,1
train-19899,train,1,"Maine ka ye hee kaam hai aur koi kaam nahi hai, kya kapda kapda laana aur kuch nahi laana",मैंने का यही काम है और कोई काम नहीं है क्या कपड़ा कपड़ा लाना और कुछ नहीं लाना,0.0181,0.962,-0.9439,1
train-3801,train,1,"Very good nice video, purane song par zaroor video banao",वेरी गुड नाइस वीडियो पुराने सॉन्ग पर जरूर वीडियो बनाएं,0.0045,0.0251,-0.0206,1
train-9453,train,1,"Ek samaya yahan meri bhi sapna thi par meri wo chhodkar chali gayi, meri gham ke sahare aur sharaab ke sahare chhodkar chali gayi",एक समया यहां सपना मेरा भी था  पर मुझे वह छोड़कर चली गयी मुझे ग़म के सहारे ओर शराब के सहारे छोड़ कर चली गयी,0.0089,0.1295,-0.1206,1
train-11127,train,1,"Maine aapki har adaa ko bahut pyari lagaya, chahe wo dil ka dard ho ya aankhon ka paani",🥀🥀मुझे बहुत 🥀🥀प्यारी लगती🥀🥀 है आपकी 🥀🥀हर अदा  🥀🥀चाहे वो दिल 🥀🥀का दर्द हो 🥀🥀या आंखों 🥀🥀का पानी 🥀🥀,0.0044,0.0083,-0.0039,1
train-16946,train,0,"Ha, vaise bhi inka to koi aur mudda hi nahi hai. Ye log to sirf dharam aur jati ke naam par vote maang kar janata ko chutiya bana raha hai. 😡",हा वैसे भी इनका तो कोई और मुद्दा ही नही है  ये लोग तो सिर्फ धर्म और जाति के नाम पर वोट मांग कर जनता को चूतिया बना रहे है ।😡,0.9992,0.9992,0.0,1
train-4004,train,0,"Tali wala aaya hai tere dono moti moti doodh dabane ke liye, aise hi khol kar rakh diya. Dunia ki galiyan khaati hai lekin aaj tu ne apni aukat dikha di. Ketu, wastaabiq mei hamare desh ki nahi hai, tu kisi aur desh se aayi hai randi banke.",ताली वाहन आ रहे हैं तेरे दोनों मोटे मोटे दूध दबाने के लिए ऐसे ही खोल कर रख दुनिया की गालियां खाती है लेकिन तू तू ने आज अपनी औकात दिखा दी केतु वास्तव में हमारे देश की नहीं है तू किसी और देश से आई है रंडी बनके,0.9993,0.9906,0.0086,1
train-1473,train,0,M****** tu hi aja,म****** तू ही आजा,0.9993,0.9993,0.0,1
train-15107,train,1,"Ye ek cute dil hai, kaise sitam kare? Hothon bhi apne, daant bhi apne",ये एक प्यार करने वाला   दिल है सितम कैसे करे  होट भी अपने हैं दांत भी अपने,0.0057,0.975,-0.9693,1
train-12994,train,1,"Bhabhi ji apki dono video ko share kardia hai, koi baat nahi, humare saath nahi banaati ho superb best 👍👍👍👍👍👍👍👍",भाभी जी आपकी दोनों वीडियो को शेयर कर दिया है कोई बात नहीं हमारे साथ नहीं बनाती हो सुपर बेस्ट 👍👍👍👍👍👍👍👍,0.006,0.9667,-0.9607,1
train-1443,train,1,Bahut sundar laga show,बहुत सुंदर लागों शो,0.0056,0.0073,-0.0017,1
train-1801,train,0,Sala pura mood bina gadbad kar diya teri chudi wali shalwar ne 😂🤪,साला सारा मूड बिगाड़ दिया तेरी चढ़ी बनियान ने 😂🤪,0.9894,0.9985,-0.0091,1
train-6499,train,1,Railgadi ka engine,रेलगाड़ी दा इजन,0.0049,0.0078,-0.003,1
train-13807,train,1,Jay mata pita,जय माता पिता,0.0052,0.0057,-0.0004,1
train-17914,train,1,"Kisne galat kiya, apke galat kya hai bata do",. कौन सी आप ही के गाली बताइए जरा,0.006,0.0464,-0.0404,1
train-13949,train,0,Bhosdi ke hi sanskaar seekho,भोसड़ी के ही संस्कार सीखें,0.9992,0.9987,0.0006,1
train-2312,train,1,Jay dukh aay naa,जय दुख एयू नाई,0.0048,0.0049,-0.0001,1
train-13374,train,0,"Mardarchod, bappaacha asa visarjan karta ka tu mele ka tulacha asa hi fakele pahije, paapi, nich, haramekhore.","मादरचोदांनो बाप्पाच असं विसर्जन करता का तु मेला का तुला पण असंच फेकले पाहिजे पापी, निच, हरामखोर,",0.9993,0.9993,0.0,1
train-19945,train,1,Khup chhan tai saheb,खूप छान ताई साहेब,0.0049,0.9719,-0.9671,1
train-10874,train,1,"Sare bete maa-baap ko shadi ke baad hi vridh ashram kyun bhejte hain, shadi se pehle kyun na soch lete hain mitron?",सारे बेटे माँ बाप को शादी के बाद ही वृद्धाश्रम क्यों भेजते हैं शादी के पहले क्यु नहीं सोचना मित्रों,0.0163,0.0098,0.0065,1
train-18905,train,0,"Arey bhosdri ke jihadi, terko sugar ka doodh khilaonga",अरे भोसड़ी के जिहादी तेरे को शुगर का दूध खिलाऊंगा,0.9993,0.9982,0.0011,1
train-7034,train,1,I love you,"आई,लव,यू",0.0046,0.0059,-0.0013,1
train-7285,train,1,Main Deoria se hu,मैं देवरिया से हूं,0.006,0.0051,0.0009,1
train-18239,train,1,Mera chain van sab ujda,मेरा चैन वैन सब उजड़ा,0.0063,0.0049,0.0014,1
train-14794,train,1,Pagal ho kya 😱😱😝😝😝,पागल हैं क्या 😱😱😝😝😝,0.0259,0.0055,0.0205,1
train-4416,train,0,Sala 10 ruppe wali mehendi lagana hai 😂🤣🤣,साला 10रुपीये वाली महेदी लगा रहा है 😂🤣🤣,0.9923,0.9628,0.0295,1
train-7762,train,1,"Sar jee apna khyaal rakhiye ga, thanda badh gayi hai.",सर जी अपना ख्याल रखीये गा ठंड बढ़ गई है।,0.0063,0.0173,-0.011,1
train-18730,train,0,"Suvra ke bcha hai, Pakistan chala jana","सुवर के बचा है, पाकिस्तान चला जाना",0.9953,0.9857,0.0096,1
train-12017,train,1,Hai hai Modi 😏😏,हाय हाय मोदी 😏😏,0.0052,0.1846,-0.1794,1
train-13687,train,0,Tera bhosdka bahut adhik maatra me garam ho gaya hai chudegi jaldi. ||||,तेरा भोसड़ा बहुत अधिक मात्रा मे गरम हो गया है चूदेगी जल्दी ।।।।,0.9992,0.9968,0.0025,2
train-4037,train,0,"Bhonsdi pura maula apps ko ganda kar diya hai, mar jaa kutti kamini",भोंसड़ी पूरा मौज  एप्स को  गंदा कर दीं हैं मर जा कुती कमीनी,0.9993,0.9989,0.0003,1
train-15567,train,0,Gandi video upload karna aapke se sikha hai ok pagle,गनदी  विडो अप्लोदे करना आप की देकर  सीके  है ok pagle,0.9985,0.9479,0.0507,1
train-12491,train,0,"Ek bitiya neeche girna chahiye, upar kaise ho gayi",एक बिता नीचे गिरी होना चाहिए ऊपर कैसे हो गई,0.9945,0.8805,0.1141,2
train-2745,train,0,"Paise ki garmi dikhatay re, chutiya",पैसे की गर्मी दिखाता है रे,0.9885,0.9993,-0.0107,2
