row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts
train-0,train,0,Bheed mein bahut habsi milenge,भीड़ में  बहुत  हब्सी मिलेंगे,0.0117,0.0203,-0.0086,1
train-3,train,0,"Kutta wahan hai, chillana kyun band nahi karta tu",कुत्ता वहा है चिल्ला तू क्यों रहा है,0.9853,0.9867,-0.0013,1
train-2,train,0,Bur dedo toh muh me land le lo toh,बुर देदो तो मुह में लंड ले लो तो,0.9991,0.9988,0.0003,2
train-1,train,0,"Sale bewakoof, apni ma ke makkiyan hatana seekh lo",साले बेवकूफ अपनी मां मक्खियां  तो हटा दें,0.9979,0.9986,-0.0006,2
train-4,train,1,"Main chai nahi peeta, isko hi chhod diya ok",चाय नहीं पीता हूं मैं इसी को छोड़ दिया ok,0.0048,0.9974,-0.9926,1
train-5,train,0,"Bankon se govt ka relation dalaali ka hai, bade bade choron ko loan milega uske badal mein bank se bhi dalaali lete hai aur bade log bhi.","बैंकों से सरकार का रिश्ता दलाली का है, बड़े बड़े चोरों को लोन दिलाने के एवज में बैंक से भी दलाली लेते है और बड़े लोग से भी",0.9975,0.9986,-0.0011,1
train-6,train,0,"#Pagli 😍 Ham to #bahot 😎 shokhine hain 👸👈 #tujhe doli 🚠 me baithake 👫 leke #jate, par 👸👈 tere 👗 kapde aur 💃 style 👀 dekhe to 👩 ma kehegi 😋 #haramegar 😍👈 tujhe 👸 bahu laane ke liye keha tha 👰 #Heroine ❌ nahi !!","#पगली 😍 हम तो #बहोत 😎 _शोकीन हैं 👸👈 #तुजे डोली🎠 मे बिठाके 👫 लेके #जाते, पर 👸👈 तेरे 👗 #कपड़े और 💃 #स्टाईल 👀 देखके 👩 मां केहेगी 😋 #हरामखोर 😍👈 तुझे 👸 _बहु लाने के लिए कहा था 👰 #Heroine ❌ नहीं !!",0.9992,0.9934,0.0058,1
train-8,train,1,Aap meri comment ki itna wait kyun karte ho,आप मेरे कमेंट का इतना  इंतजार क्यों करते है,0.0049,0.0061,-0.0013,1
train-10,train,1,Aap bahut cute ho sanam,आप बहुत प्यारे हो सनम,0.0048,0.0051,-0.0003,1
train-9,train,0,Bhosdi ko baat karne do,भोसड़ी को बात करने दो,0.9993,0.9978,0.0014,1
train-7,train,0,"Oh my god, itna saare chamche hai yahan, iska matlab jalnakhoron ki kami nahi hai",ohh my god . यहां इतने सारे चमचे इसका मतलब जलनखोरो की कमी नही है,0.9992,0.959,0.0402,2
train-12,train,0,Ye BJP wale bahut chutiya hai,ये बीजेपी वाले बहुत चूतिया है,0.9993,0.9993,0.0,1
