row_id,split,label,text,hindi_text,seed_text,seed_origin,variant,cosine,judge_label,judge_conf,hinglish_abuse,source,fail_reason
synth-val-3934-mix_english_heavy,train,1,"They should feel ashamed. Such immoral parents are leaving their small child behind and running after money. Now use that same money to cure the child. If you can't take care of the child, why even have one? A mother who can't take care of her child is a disgrace to the name of a woman. If I said something wrong, please forgive me. Everyone should pray for this child to get better soon. The parents should get some sense. The woman should get the harshest punishment. Treat these mentally ill people. Disgraceful.",Sharm aani chahie aise Besharam maa baap Ko chhote se bacche ko chhodkar pese ke piche bhag rahe hain अब लगाओ वही पैसा बच्चे को ठीक करने में जब बच्चे संभाले नहीं जाते तो पैदा क्यों करते हो एक मां अपने बच्चे को संभालने सकते तो  नारी नाम पर कलंक है कुछ गलत कहा हो तो माफ करें sabhi log kis bacche ke liye prathna karo ki jald se jald theek ho jaaye man baap Ko sadbuddhi aay उस महिला  कड़ी से कड़ी सजा दी जाए ऐसे मेंटल पेशेंट को इलाज करवाया जाए बेशर्म,Sharm aani chahiye aise besharam maa-baap ko chhotey se bacche ko chhodkar paisa ke piche bhag rahe hain. Ab lagao wahi paisa bacche ko theek karna me. Jab bacche sambhalay nahi jate to paida kyun karte ho? Ek maan apne bacche ko sambhal sa,val_error,mix_english_heavy,0.2293,,,0.0,hard_aug,low_cosine:0.23
synth-val-3934-paraphrase,train,1,"Sharam to honi chahiye aise bechar maa-baap ko, unhone chote bacche ko chhodkar paise ke piche bhaghe hue hain. Ab wahi paise bacche ke saamne lagao. Agar bacche sambhalay nahi jate to unki paon kyun karte ho? Agar ek maan apne bacche ko sambhal sakti hai to uski nari hoti hai. Kisi galat bat ke liye maaf kar dijiye. Sab log us bacche ke liye pray karo ki jald se jald theek ho jaye. Sharminda ho jao maa-baap. Us mahila ko jaldi se jaldi sasti di jaye. Aise mental problem wale logon ke liye treatment chahiye. Besharam.",Sharm aani chahie aise Besharam maa baap Ko chhote se bacche ko chhodkar pese ke piche bhag rahe hain अब लगाओ वही पैसा बच्चे को ठीक करने में जब बच्चे संभाले नहीं जाते तो पैदा क्यों करते हो एक मां अपने बच्चे को संभालने सकते तो  नारी नाम पर कलंक है कुछ गलत कहा हो तो माफ करें sabhi log kis bacche ke liye prathna karo ki jald se jald theek ho jaaye man baap Ko sadbuddhi aay उस महिला  कड़ी से कड़ी सजा दी जाए ऐसे मेंटल पेशेंट को इलाज करवाया जाए बेशर्म,Sharm aani chahiye aise besharam maa-baap ko chhotey se bacche ko chhodkar paisa ke piche bhag rahe hain. Ab lagao wahi paisa bacche ko theek karna me. Jab bacche sambhalay nahi jate to paida kyun karte ho? Ek maan apne bacche ko sambhal sa,val_error,paraphrase,0.8266,0,0.95,0.0,hard_aug,judge_mismatch:0
synth-val-3934-mix_hindi_heavy,train,1,Sharm aani chahiye aise besharam maa-baap ko jo chhotey se bacche ko chhodkar pese ke piche bhag rahe hain. Ab lagaio wahi pese bacche ke theek hone me. Jab bacche sambhalaye nahi jate to paonse kyun kerte ho? Ek maan apne bacche ko sambhal sakti hai to nari naam par kalank hai. Kuch galat kaha ho to maaf karein. Sab log us bacche ke liye pray karo ki jald se jald theek ho jaye. Ma-baap ko sadbuddhi aaye. Us mahila ko kardi se kardi saza di jaye. Aise mental patient ke ilaaj karo. Besharam.,Sharm aani chahie aise Besharam maa baap Ko chhote se bacche ko chhodkar pese ke piche bhag rahe hain अब लगाओ वही पैसा बच्चे को ठीक करने में जब बच्चे संभाले नहीं जाते तो पैदा क्यों करते हो एक मां अपने बच्चे को संभालने सकते तो  नारी नाम पर कलंक है कुछ गलत कहा हो तो माफ करें sabhi log kis bacche ke liye prathna karo ki jald se jald theek ho jaaye man baap Ko sadbuddhi aay उस महिला  कड़ी से कड़ी सजा दी जाए ऐसे मेंटल पेशेंट को इलाज करवाया जाए बेशर्म,Sharm aani chahiye aise besharam maa-baap ko chhotey se bacche ko chhodkar paisa ke piche bhag rahe hain. Ab lagao wahi paisa bacche ko theek karna me. Jab bacche sambhalay nahi jate to paida kyun karte ho? Ek maan apne bacche ko sambhal sa,val_error,mix_hindi_heavy,0.9502,,,0.0,hard_aug,judge_unreliable
synth-val-3107-mix_english_heavy,train,1,"Bro, the auto guy has brain, still don't show off",भाई आटो वाले के पास दिमाक हैं फिर भी घमंड नही करता है,"Bhai auto wale ke paas dimaak hai, phir bhi ghamand nahi karta hai",val_error,mix_english_heavy,0.1096,,,0.0,hard_aug,low_cosine:0.11
synth-train-17726-paraphrase,train,1,Kisi beegey ko lion bolen se beegey lion nahi ho jata,किसी कुते को शेर बोलने से कुता शेर नहीं हो जाता,Kisi kutte ko sher bolne se kutta sher nahi ho jata,train_error,paraphrase,0.3241,,,0.0,hard_aug,low_cosine:0.32
synth-train-17726-mix_english_heavy,train,1,A dog can't become a lion just by barking like one.,किसी कुते को शेर बोलने से कुता शेर नहीं हो जाता,Kisi kutte ko sher bolne se kutta sher nahi ho jata,train_error,mix_english_heavy,,,,0.0,hard_aug,low_cosine:0.00
synth-val-3107-contrastive,train,0,"Bhai auto wale ke paas dimaak hai, phir bhi ghamand karta hai to kya? Aisi logo ka hissa bhi na le.",भाई आटो वाले के पास दिमाक हैं फिर भी घमंड नही करता है,"Bhai auto wale ke paas dimaak hai, phir bhi ghamand nahi karta hai",val_error,contrastive,0.8135,1,0.95,0.0,hard_aug,judge_mismatch:1
synth-train-17726-mix_hindi_heavy,train,1,Kisi kutte ko sher bolne se kutte sher nahi ban jate hain,किसी कुते को शेर बोलने से कुता शेर नहीं हो जाता,Kisi kutte ko sher bolne se kutta sher nahi ho jata,train_error,mix_hindi_heavy,0.8193,0,0.9,0.0,hard_aug,judge_mismatch:0
synth-train-16949-mix_english_heavy,train,0,"You think you understand what I'm saying? What I'm saying is that whatever the Congress govt made in 65 years, that's the same thing they're selling now in the country.",समज रहे हो ना क्या बोल रहा है जो या बोल रहा है ना वहीं सच है जो 65 साल में कांग्रेस सरकार ने बनाया था देश में वहीं बेच रहा है,"Samanjha rahe ho na, jo bhi bol raha hai vohi sach hai jo 65 saal mein Congress sarkar ne banaya tha desh mein vohi bech raha hai.",train_quarantine,mix_english_heavy,0.1518,,,0.0,hard_aug,low_cosine:0.15
synth-train-16949-paraphrase,train,0,"Samajh raha hai kya jo main bol raha hu vohi sach hai jo 65 saal se Congress ke duniya mei hai, vohi hi becha raha hai.",समज रहे हो ना क्या बोल रहा है जो या बोल रहा है ना वहीं सच है जो 65 साल में कांग्रेस सरकार ने बनाया था देश में वहीं बेच रहा है,"Samanjha rahe ho na, jo bhi bol raha hai vohi sach hai jo 65 saal mein Congress sarkar ne banaya tha desh mein vohi bech raha hai.",train_quarantine,paraphrase,0.7638,,,0.0,hard_aug,judge_unreliable
