row_id,split,label,text,hindi_text,seed_text,seed_origin,variant,cosine,judge_label,judge_conf,hinglish_abuse,source
synth-val-3107-paraphrase,train,1,"Bhai auto wale ke paas to dino se dimaag hai, phir bhi uski ghamand nahi hoti hai yaar.",भाई आटो वाले के पास दिमाक हैं फिर भी घमंड नही करता है,"Bhai auto wale ke paas dimaak hai, phir bhi ghamand nahi karta hai",val_error,paraphrase,0.7674,1,0.9,0.9866,hard_aug
synth-val-3107-mix_hindi_heavy,train,1,"Bhai auto wale ke paas dimaak hai, fir bhi ghamand nahi karta hai.",भाई आटो वाले के पास दिमाक हैं फिर भी घमंड नही करता है,"Bhai auto wale ke paas dimaak hai, phir bhi ghamand nahi karta hai",val_error,mix_hindi_heavy,0.9368,1,0.9,0.6366,hard_aug
synth-train-1419-mix_hindi_heavy,train,1,Punha video duo keela...banao...te purega nus tan dole pusate na paani na bhav...abhinay...neet pha re bhavano,पण हा विडीयो डुएट केलाय .....बनाव.....ते पोरगं नुसतंच डोळे पुसतंय ना पानी ना भाव...अभिनय...नीट पहा रे भावांनो,Punha video duet kela...banav...te porega nus tanche dole pusatya na paani na bhaav...abhinay...neet paha re bhaavano,train_error,mix_hindi_heavy,0.8247,1,0.9,0.865,hard_aug
synth-val-4536-paraphrase,train,1,Thandi a gai hai sister ab toh dhaak lo,ठंडी आ गई है बहन अब तो ढाक लो,Thandi a gayi hai behen ab toh dhaak lo,val_error,paraphrase,0.7502,1,0.9,0.9767,hard_aug
synth-val-4536-mix_hindi_heavy,train,1,Thandi a gayi hai behen ab to dhaak lo,ठंडी आ गई है बहन अब तो ढाक लो,Thandi a gayi hai behen ab toh dhaak lo,val_error,mix_hindi_heavy,0.9351,1,0.9,0.0918,hard_aug
synth-val-5114-contrastive,train,1,"Ye sab tum log ke liye bana hai, ham to paani se dhokar hi smart dikhte hai. Tum kabhi try kar ke dekho, ek ko dekh kar dusri thok jayegi.",ये सब तुम लोगो के लिए बना है हम तो पानी से धोकर ही स्मार्ट दिखते हैं तुम कभी triy कर के देख लेना एक को देख कर दूसरी डर जायेगी,"Ye sab tum log ke liye bana hai, ham to paani se dhokar hi smart dikhte hai. Tum kabhi try kar ke dekho, ek ko dekh kar dusri dar jayegi.",val_error,contrastive,0.9717,1,0.85,0.0363,hard_aug
synth-train-12446-paraphrase,train,1,"Isme bhi aapke masta kaparde bahut mazaak hai, aap bhi toh masta ho.",बहुत ही मस्त कपड़े भी इसमें आप के मस्त है,Bahut mazaak aapke masta kaparde hai isme bhi aap ke masta hai,train_error,paraphrase,0.8372,1,0.9,0.2217,hard_aug
synth-train-12446-mix_hindi_heavy,train,1,Bahut mazaak aapke mast kaparde hai isme bhi aapke mast hai,बहुत ही मस्त कपड़े भी इसमें आप के मस्त है,Bahut mazaak aapke masta kaparde hai isme bhi aap ke masta hai,train_error,mix_hindi_heavy,0.8827,1,0.95,0.0336,hard_aug
synth-val-1826-paraphrase,train,0,Send bina cloth wala video.,भेजो बिना कपडे वाले विडियो,Send bina kapde wale video,val_error,paraphrase,0.5661,0,0.9,0.0263,hard_aug
synth-val-1826-obfuscation,train,0,Send bina k@pde wale v!deo,भेजो बिना कपडे वाले विडियो,Send bina kapde wale video,val_error,obfuscation,0.7692,0,0.9,0.5139,hard_aug
synth-train-10210-mix_hindi_heavy,train,1,"Ye do hone phale se hi hil rahi hai, kaun mazak ley raha hai?",ये दोनों आलरेडी पहले से ही हिल रही है काहे  मज़े ले रहा है,"Ye dono already pahle se hi hill rahi hai, kyon mazak nahi ban raha hai",train_error,mix_hindi_heavy,0.6658,1,0.9,0.9933,hard_aug
synth-train-10210-paraphrase,train,1,"Ye dono pehle se hi hill rahi hai, toh phir mazak kyun nahi ban raha hai",ये दोनों आलरेडी पहले से ही हिल रही है काहे  मज़े ले रहा है,"Ye dono already pahle se hi hill rahi hai, kyon mazak nahi ban raha hai",train_error,paraphrase,0.7978,1,0.9,0.9822,hard_aug
synth-train-10031-paraphrase,train,1,Chunavi baad dekho kya hoga 🤕😐😐,चुनाव के बाद देखो क्या होता है 🤕😐😐,Chunav ke baad dekh lo kya hota hai 🤕😐😐,train_error,paraphrase,0.6451,1,0.9,0.324,hard_aug
synth-train-18870-obfuscation,train,0,Sala ek kameena khud t@dipar h@i,साला एक कमीना खुद तडिपार है,Sala ek kameena khud tadi pahar hai,train_quarantine,obfuscation,0.6873,0,0.95,0.9941,hard_aug
synth-train-7879-paraphrase,train,0,"Bhoot udddho mat, year toh badal chuka hai, inki gharvali aur sali hi same hai 😂😂",ज्यादा उड़ो मत साल बदला है साली और घरवाली नहीं बदली 😂😂,"Jyada uddho mat, saal badal gaya hai, sali aur gharvali nahi badli 😂😂",train_quarantine,paraphrase,0.6111,0,0.85,0.8651,hard_aug
synth-val-5939-obfuscation,train,0,Ye k@i se.xy hai!,हाऐ कौसी है सेक्सी,Ye koi sexy hai!,val_error,obfuscation,0.667,0,0.85,0.0114,hard_aug
synth-train-10897-paraphrase,train,0,"Isko kahate hain thok kr chakna, jaise ki nikamma olad wale ne Modi se puchh liya aur sb kuch ulta ho gya",इसको कहते है थूक कर चाटना जैसे कि निकम्मी ओलाद बालों ने मोदी की तारीफ की और हुआ सब उल्टा,"Isko kahate hain thook kar chatna, jaise ki nikamma olad wale ne Modi ki tarif ki aur hua sab ulta",train_quarantine,paraphrase,0.6667,0,0.9,0.9946,hard_aug
