row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts
train-601,train,0,"Famous hone ke liye kuch bhi kar sakti ho, kutti kameeni",फेमस होने के लिए कुछ भी कर सकती हो कुत्ति कामिनी,0.8721,0.9944,-0.1223,1
train-126,train,0,Oh behen ke land 🤣😂🤣😂ek. I'd aur chahiyega to bhej teri behen ko,Oh बहन के लंड 🤣😂🤣😂एक. I'd ओर चहीये तो भेज तेरी बहन को,0.9959,0.9911,0.0047,1
train-2891,train,0,"Amir ghar ki baat nahi suno, salle gandi aulad",अमीर घर की मजा ना सवाद साली गंदी औलाद,0.0163,0.9718,-0.9556,1
train-3165,train,0,Teri ma ka bhosd chhapri laude,तेरी मा का भोसडा छपरी लौडे,0.9961,0.9978,-0.0017,1
train-3564,train,0,Tum ek bar chut foor ke andar wala katori dikhado phir dekh lo like,तुम एक बार चुत फार के अंदर वाला कटोरी दिखा दो फिर देखो लाइक,0.0886,0.9955,-0.9069,1
train-2746,train,1,"Bas ye baat havaon ko bataye rakha, roshni hogi chiraagon ko jalaaye rakha, lahu dekar jiski hifazat ki shahidon ne, us tirange ko sadha dil mein basaye rakha.","🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳   बस ये बात हवाओं को बताये रखना,   रौशनी होगी चिरागों को जलाये रखना,   लहू देकर जिसकी हिफाज़त की शहीदों ने,   उस तिरंगे को सदा दिल में बसाये रखना।   🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳",0.0076,0.0228,-0.0152,2
train-4365,train,0,"Aapne kabhi gand marwaya kiya? Bahut maza aayega ek bar marwa lo, bhool jao gi chut marwana, 😍😍😍😍😘😘😘💄💄💄🍌🍌🍌🍌","आपने कभी गाँड़ मरवाई क्या ? बहुत मजा आएगा एक बार मरवा लो , भूल जाओगी चूत मरवाना ,😍😍😍😍😘😘😘💄💄💄🍌🍌🍌🍌",0.9374,0.9922,-0.0548,1
train-5183,train,1,"Pura duniya mein apko chuna hai, chahye pyar ho ya dost. Uski kadr karo. Bilkul hi cute hai. 😍 (Balkrishan Saini) 🤭",🌹कदर करो उसकी 🌹जिसने पूरी दुनिया में🌹 🌹आपको चुना है चाहे फिर🌹 वो प्यार हो या दोस्त🌹🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗😍(.balkrishan😍saini.)🤭,0.0082,0.0181,-0.0099,1
train-6365,train,0,"To sabhi Muslim ko bol lo ki love jihad, dharmantarana wala land jihad kyu kar rhe ho",तो सभी मुस्लिमों को बोलो कि लव जिहाद धर्मांतरण लैंड जिहाद क्यों कर रहे हैं,0.2105,0.9744,-0.7639,1
train-6433,train,0,"Arey bap re bap, chhinaal mard ko chhod do",अरे बाप रे बाप छीनाल,0.9058,0.9957,-0.0899,1
