row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts,fail_reason,last_output
train-547,train,0,,कंस के वंशज ऐसा ही सोचेगे कृष्ण वंशी नही मुलायम भैसे चराता था उसके बापकि कोई पान पट्टी की दुकान भी नही थी अंधेके हाथ बटेर लग गया पंचर छतरी छापो का टोला मिल गया आज खरबो का मालीक है कहा से आऐ भाई झुपडी मे रहने वाले के पास खरबो की दोलत कोई चारा डकार जाता कार सैवको गोलीयो से भुनने वाला सनातन का दुशमन सबसे बडा डकैत विधर्मीयो को खुश करने वाला उसके चेहते बाबा को आतंकी बोलते है शर्म आनी चाहिए जाकर अपना डीएन ए जांच करा जात मे ईतना अंधा ईतनी ईष्या की बाबा योगी को आतंकी कहता है मेरी जात का मुख्यमंत्री नही ईसलिए ऐसे भाव एक ने बिहार लूटा एक ने यूपी ये तो कुछ मुर्ख है सनातन मे जौ ऐसे निहत्थे कार सैवको पर गोली चलाने वाले मुल्ला का साथ दे रहे है बाप के बाद बेटा राजशाही बपोती है बेचारा ओवेशी सही कह रहा ये मूर्ख नही समझते 7प्रतिशत वाला 20 प्रतिशत के वोट लेकर मोदीयोगी का भय दिखा कर राज कर रहा है 20 प्रतिशत को थोडा सुखी हड्डी का टुकडा डाल देता है वो खुश की मोदी योगी को हराया पर तेरे को क्या मिला कुत्ते को कही सुखी हड्डी मिले ओर वो चबाता है अपने मसुडो से निकले वाले खुनको हड्डी का खुन समझ चाटता है खुश होताह,0.9227,0.9736,-0.051,4,abuse_lexicon_missing,"Kons ke vanshaj aisa sochenge, Krishna vanshi nahi, mulayam bhai se charaata tha, uske bapki koi paan patti ki dukan bhi nahi thi, andhe ke haath battery lag gaya, pancar chhatari chhapo ka tola mil gaya, aaj khrobe ka malik hai, kahan se aaye bhai, jhupadi me rihna wale ke paas khrobe ki dolat, koi chara daku jaata, car saveko goliyo se bunane wala, sanatan ka dusman, sabse bada dakaat, vidharmaio ko khush karna wala, uske chehte babako atanki bolte hai, sharm aani chahiye, jake apna DNA jaanch karo, jat me itna andha, itni iesya ki babaji yogi ko atanki kah raha hai, meri jat ka CM nahi isliye aise bhaav, ek ne Bihar lootaa, ek ne UP, ye to kuch murkh hai, sanatan me jo aise n"
train-7215,train,1,,भारत देश की लड़कियों को मिल रही है  आजादी और शिक्षा 💃👈   तालिबान में लड़कियों पर हो रही है  गुलामी और हिंसा🧕👈  इसके बावजूद कुछ लोग तालिबान के  गुण गाने लगे हैं🧔👈   इंडिया से हिजाब को बंद करो  हिजाब ही आतंकी संगठन है   * हिंदू💃👈 महिलाएं* पढ़ाई कर रही है  नौकरी कर रही है  खेल रही है तीन तलाक से सुरक्षित है  बुर्का पहनना जरूरी नहीं है शारीरिक शोषण नहीं है         *मुस्लिम🧕👈 महिलाएं* पढ़ने की छूट नहीं  नौकरी की छूट नहीं  खेलने की छूट नहीं तीन तलाक से परेशान बुर्का पहनना बेहद जरूरी हर मौके पर शारीरिक शोषण होता है,0.7377,0.9929,-0.2552,4,abuse_score_spike,"Bharat desh ki ladkiyon ko mil rahi hai azadi aur shiksha 💃👈 Taliban mein ladkiyon par gulami aur hinsa ho rahi hai 🧕👈 iske baad bhi kuch log Taliban ke gun gane lage hain 🧔👈 India se hijab ko band karo, hijab hee terror group hai. *Hindu 💃👈 meharbaan* padhai karni hai, naye karna hai, khele hai, teen talak se save hai, burka pahane ki zaroorat nahi hai, sharirik shosan nahi hai. *Muslim 🧕👈 meharbaan* padhne ki chhut nahi, naye ki chhut nahi, khele ki chhut nahi, teen talak se paresan hai, burka pahane bahut zaroori hai, har mekhla sharirik shosan hota hai."
train-176,train,0,,बहोत सेक्सी लग रही हो आप मॅडम 💋💋,0.85,0.0342,0.8157,4,abuse_score_drop,Bahot sexy lag rahi ho aap madam 💋💋
train-296,train,0,,पुनम जी मुझे राज का लिंग सेड करों,0.8875,0.013,0.8744,4,abuse_score_drop,Poonam je mujhe Raj ka ling send karo
train-459,train,0,,कितनो को मरोगी इस लाल खून से 😜🤣🤣,0.2327,0.0457,0.187,4,abuse_score_drop,Kitne ko marogi is laal khun se 😜🤣🤣
train-525,train,0,,गधी नाखून तो काट लेने थे,0.5795,0.2712,0.3082,4,abuse_score_drop,Gadhi na khoun to kaat lene the
train-548,train,0,,रडीका बेटा है,0.1872,0.0212,0.166,4,abuse_score_drop,Radika ka beta hai
train-907,train,0,,साडी त लाला पहेर लेतू हो,0.9953,0.09,0.9053,4,abuse_score_drop,Saadi to lala phehre lete ho
train-979,train,0,,साडी ब्लाउज पेटीकोट बाकी और तो जरूर बुला सकते हौ,0.9638,0.404,0.5598,4,abuse_score_drop,Saadi blouse peticoat baki aur to jaroor bulaye ho
train-1158,train,0,,ईच्या आईला जरशी बैल झवला होता म्हणुन ति आस करती,0.5813,0.0416,0.5396,4,abuse_score_drop,Icha aile jarshi bale jvala hota manji ti as karati
train-1234,train,0,,मर गए सब के सब,0.5671,0.0113,0.5558,4,abuse_score_drop,Sabke sab mar gaye
train-1191,train,1,,टीचर :- बच्चों “जले पे #नमक छिड़कना” को उदहारण सहित समझाओ! #बच्चा :- पेट्रोल पंप पर मोदी जी की मुस्कुराती हुई फोटो टीचर :- #शाबाश बेटे  🤣🤣🙆🙆,0.0829,0.017,0.0659,4,collapsed_length,"Teacher: Bachcho ""Jale pe namak chhirkanay"" ko udaharan ke saath samajhao!"
train-1570,train,0,,सालो गे हो क्या बे,0.8656,0.0219,0.8438,4,abuse_score_drop,Salo gae ho kya be
train-1431,train,0,,ईश्वर अल्लाह एक नहीं है..जिस मजहब में गोद ली बच्ची से बाप निकाह कर सकता है उस मजहब की तुलना सनातन धर्म संस्कृति से मत किया करों                  🚩जय श्री राम🚩,0.9663,0.5349,0.4314,4,abuse_score_drop,"Ishwar Allah ek nahi hai.. jis majhab me god liya bacchi se baap nikah kar sakta hai us majhab ko sanatan dharma se mat compare karo, jay shri ram"
train-1594,train,0,,ऐसे ऐसे जानवर पड़े राज कर रहे हैं कि जिसको जरूरत है कितने पैसों की उसने मिलता नहीं जिनको जिस चीज की जरूरत है उन्हें मिलता नहीं चाहे बिरादरी कितनी भी अच्छी हो साले ऐसे जानवर राज कर रहे हैं 1 दिनों से मारे जाएंगे सरकार में जितनी बैठे हैं कौन-कौन तैयार है हमारे साथ जो अच्छे होंगे वह हमारा साथ देंगे,0.9864,0.0159,0.9706,4,abuse_score_drop,"Aise aise jaaNvar padhe raaj kar rhe hain ki jiski kitni paise ki zaroorat hai usko milta nahi, jo chiz zaroorat hai unhe milta nahi, chahe biradari kitni bhi acchi ho sale aise jaaNvar raaj kar rhe hain ek din se mare jayenge, sarke mein jitni baithi hai kon kon taiyaar hai, hamare saath jo ache honge voh hamara saath denge"
