row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts,fail_reason,last_output
train-16507,train,0,,करण जोहर छक्का,0.9984,0.0368,0.9616,3,abuse_score_drop,Karan Johar chhakka hai
train-3199,train,0,,"अब ब्रा पैटी मे भी नाचो वहीं बाकी रह गया है, vew ज्यादा मिलेगा",0.9992,0.0179,0.9813,3,abuse_score_drop,"Ab bra patti mein bhi naache, wahi baki re gaya hai, vew jyada milega"
train-14153,train,0,,हराम का पैसा,0.9984,0.0441,0.9543,3,abuse_score_drop,Haram ka paisa
train-13311,train,0,,बेटा कुछ पढ लिख लो पानी पानी बाद मे हो लेना,0.9543,0.0168,0.9375,3,abuse_score_drop,"Beta kuch padh lixb lo, paani paani badme ho lena"
train-459,train,0,,कितनो को मरोगी इस लाल खून से 😜🤣🤣,0.9515,0.2265,0.725,3,abuse_score_drop,Kitne ko marogi is laal khoon se 😜🤣🤣
train-13681,train,0,,ज़हरीले लोग के सामने सांप का जहर भी फीका पड़ जाता है।।बायकाट बालीवुड।।,0.9857,0.0658,0.9199,3,abuse_score_drop,Zahrile log ke samne saap ka jehar bhi feeke pad jaata hai. Bye karo bollywood ka.
train-16249,train,0,,यह लड़की बीड़ी पीती है उसकी ब्रा में देखो माचिस रखी है,0.9992,0.0312,0.968,3,abuse_score_drop,"Ye ladki beedi peeti hai, uski bra mein dekho, matchstick rakhi hai"
train-14905,train,0,,तु थोडी देशी पेउन महा तांडव कर,0.9981,0.0427,0.9554,3,abuse_score_drop,Tum thodi deshi peun maha tandav karo
train-17434,train,0,,समोसा तितली थोडी हि ना होता है । सब के सब पागल है।,0.974,0.0101,0.9639,3,abuse_score_drop,Samosa titli thodi hi na hota hai. Sab ke sab pagal hai.
train-5493,train,0,,तारीख गांड मार वा माटे,0.9993,0.0643,0.9349,3,abuse_score_drop,Tarikh gand mar wa marte
