row_id,split,label,pred,p_abuse,error,bucket,borderline,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta
train-13,train,1,0,0.82474834,fp,sarcasm,0,"Tumhare peechey padhe hain, bahut saare namune hai. Kisiko toh friend request accept karo 😂😂😂😂🤣😂😀😀😀😁😁",तुम्हारे पीछे पड़े हैं  बहुत सारे नमूने हैं   किसी का तो फ्रेंड रिक्वेस्ट एक्सेप्ट कर लो😂😂😂😂🤣😂😀😀😀😁😁,0.0098,0.7099,-0.7001
train-21,train,1,0,0.9901419,fp,source_label_wrong,0,Aapne sahi kaha. DNA test karke har ek Bharat me haraam ki kamai wale haraamkhore ko nikalna chahiye.,आपने सही कहा।डीएनए जांच करके एक एक भारत में हराम की कमाई खाते पड़े हरामखोर को निकालना चाहिए।,0.9976,0.9774,0.0202
train-53,train,1,0,0.8654495,fp,false_positive_other,0,Aajad desh Bharat me jitni mehila aajad hai. Sayad duniya me kahin nahi hogi. Bas farak itna hai ki ameer ghar se lekar office tak har jagah aajad hai. Aur wahi gareeb inki zuthan saaf karna se lekar lateeing bathroom saaf karte gulam hai. Ameer aajad hai. Gareeb gulam hai.,🙏🙏आजाद देश भारत मे जितनी महीलाऐ आजाद हैं।सायद दूनिया मे कही नही होगीं।बस फर्क इतना है। कि अमीर घऱ से लेकर ओफिस तक हर जगह आजाद है।और वही गरीब इनकी झुठन साफ करने से लेकर ले्टीगं बाथरूम साफ करके गुलाम हैं। अमीर आजाद है। गरीब गुलाम है।🙏🙏,0.0048,0.9956,-0.9907
train-70,train,0,1,0.060658447,fn,source_label_wrong,0,Aapke maang me sindoor bhi nazar a raha hai.,आपके मांग में सिंदूर भी नजर आ रहा है।,0.0091,0.0049,0.0042
train-128,train,0,1,0.055153497,fn,benign_looking_insult,0,"Das saal me uska shirt be nahi pata, budhha abhi nahi hua, aur bacche bade ho gaye. Das saal baad bhi uska shirt wahi ka wahi hai.",दस साल मे उसका शॉट बी फाटा नही बुड्ढा अभी हुआ नही और बच्चे बडे हो गये दस साल बाद भी उसका का शर्ट वही का वही,0.8216,0.8961,-0.0745
train-138,train,1,0,0.81584364,fp,false_positive_other,0,Inke video banane se pehle kapde toh badal lete,कपड़े तो बदल देता ईनके विडियो बनाने से पहले,0.0131,0.9517,-0.9386
train-171,train,0,1,0.015483399,fn,source_label_wrong,0,"Dil hi dil kahan hai ab, seese se bhi nazuk hota tha par dil laganewale pattaar ban gaya hai",दिल ही दिल कहा है अब  सीसे से बि नाजुक होता था  पर दिल लगाने वाले पत्थर बन गया है,0.0073,0.0343,-0.027
train-177,train,1,0,0.9612124,fp,false_positive_other,0,"Doodh ka doodh, paani ka paani 😄😄",दूध का दूध पानी का पानी 😄😄,0.0207,0.5866,-0.5659
train-193,train,0,1,0.016654275,fn,benign_looking_insult,0,"Thokar khaate hain aur muskurate hain, is dil ko sabr karna sikhate hain. Ham dar se leke bhi logo ko yaad karte hain aur logo dar deke bhi logo ko bhool jate hain.",ठोकर खाते हैं और मुस्कुराते हैं इस दिल को सब्र करना सिखाते हैं    हम दर्द लेकर भी लोगों को याद करते हैं और लोग दर्द देकर भी लोगों को भूल जाते हैं,0.9443,0.9804,-0.0361
train-210,train,1,0,0.9134713,fp,false_positive_other,0,"Jhandwale, tum swadeshie bano! Tum HMT ki ghadi peheno, jabki Modi 2 lakh ki Movado pehenta hai! Tum fast-track ke chashme peheno, woh Bulgari pehenta hai! Tum bajaj ka scooter chalao, woh 13 crore ki car mein ghumta hai! Baaki dil pe mat lena... aur dimaag 2/- mein girvi rakkar gujarish kar rahe ho 😜","झंडभक्तो.. तुम स्वदेशी बनो.! तुम HMT की घड़ी पहनो, हालांकि मोदी 2 लाख की मोवाडो पहनता है.! तुम फास्ट-ट्रैक के चश्मे पहनो, वो बुल्गरी पहनता है.! तुम बजाज का स्कूटर चलाओ, वे 13 करोड़ की कार में घूमता है.!  बाकी दिल पे मत लेना..  और  दिमाग 2/- में  ,गिरवी रखकर गुजारा कर रहे हो , 😜",0.03,0.0265,0.0035
