row_id,split,label,text,hindi_text,seed_text,seed_origin,variant,cosine,judge_label,judge_conf,hinglish_abuse,source
synth-train-6912-paraphrase,train,0,Miss Queen aur MD B Khan Indian Army ke sab jati ka regiment hai lekin gaddar bolna wala sirf ek jamat ka hai aur wo pata hai ki kon si jamat hai na,Miss Queen और MD B khan इंडियन आर्मी  सब जाति की रेजिमेंट है लेकीन एक ही जमात की नही है जिन्हें गद्दार बोला जाता है और वो पता है ना कोन सी जमात है,Miss Queen aur MD B Khan Indian Army sab jati ki regiment hai lekin ek hi jamat ki nahi hai jinhone gaddar bola jata hai aur wo pata hai na kon si jamat hai,train_quarantine,paraphrase,0.8631,0,0.9,0.0088,hard_aug
synth-val-3156-paraphrase,train,0,"Chand Mia Mullah hai, Google pe search kar lo",चाँद मियां मुल्ला है गूगल खोजो,"Chand Mia Mullah hai, Google se pucha karo",val_error,paraphrase,0.7641,0,0.85,0.0094,hard_aug
synth-val-4692-mix_hindi_heavy,train,1,Suran ya ola ko kya kehte hain?,सुरन या ओल को क्या कहते हैं?,Suran ya ola ko kya kehte hai?,val_error,mix_hindi_heavy,0.9276,1,0.95,0.0145,hard_aug
synth-train-15575-paraphrase,train,1,"Is, nabaalik bacchi ki shadi kiske bhai ne kiya 😜😀😂😆🤣","इस, नाबालिक बच्ची की शादी किसने कर दी- भाई😜😀😂😆🤣","Is, nabaalik bacchi ki shadi kisne kiya bhai 😜😀😂😆🤣",train_error,paraphrase,0.9079,1,0.8,0.158,hard_aug
synth-val-6532-paraphrase,train,1,"Sher kr diya yaar dost, apun toh pgl lg rha hain.",शेर कर दिया है यार दोस्त,Sher kar diya hai yaar dost,val_error,paraphrase,0.6036,1,0.9,0.9284,hard_aug
synth-train-7206-paraphrase,train,0,Chodna mat chhodna ☺️,चो*दे छोडना मत ☺️,Choda na mat chhodna ☺️,train_quarantine,paraphrase,0.9005,0,0.9,0.0299,hard_aug
synth-train-10948-paraphrase,train,0,Aur ek halala wali team hai to.,और एक हलाला की टीम,Aur ek halala ki team,train_quarantine,paraphrase,0.7542,0,0.9,0.4982,hard_aug
synth-val-6110-obfuscation,train,0,Brohi ph@d dete bhai usko chhod kyun diy@,ब्रा भी फाड़ देता भाई उसको छोड़ क्यों दिया,Brohi phad dete bhai usko chhod kyun diya,val_error,obfuscation,0.878,0,0.85,0.0096,hard_aug
synth-val-5431-paraphrase,train,1,Insta chalao yaar jaldi se,Insta चालू करो यार जल्दी,Insta chalu karo yaar jaldi,val_error,paraphrase,0.7549,1,0.95,0.0146,hard_aug
synth-train-10334-obfuscation,train,0,Jihad karo aur 72 hoor lala dega woh bhi jannat me.,जिहाद करो ओर 72 हुरे लला देगा वो भी जन्नत मे,Jihad karo aur 72 hoor lela dega woh bhi jannat me.,train_quarantine,obfuscation,0.9412,0,0.95,0.9174,hard_aug
synth-train-12088-obfuscation,train,0,"Jo h@r kisiko m@r jaye, usko to m@r hi j@na ch@hiye 😶‍🌫️🤫",जो हर किसी पे मर जाए 🙄🙄🙄 उसे तो मर ही जाना चाहिए 🤫🤫🤫,"Jo har kisiko mar jaye, usko to mar hi jana chahiye 😶‍🌫️🤫",train_quarantine,obfuscation,0.6528,0,0.85,0.0383,hard_aug
synth-val-6532-mix_hindi_heavy,train,1,Sher kar diya hai yaar dost.,शेर कर दिया है यार दोस्त,Sher kar diya hai yaar dost,val_error,mix_hindi_heavy,0.9525,1,0.95,0.0863,hard_aug
synth-val-6133-obfuscation,train,0,"Uski b@dbu se khet me ke sar@ jevj@ntu m@r j@yege,","एसकी बदबू से खेत मे के सारे जीवजंतू मर जायेगे ,","Uski badbu se khet me ke sab jeewan mar jayege,",val_error,obfuscation,0.6141,0,0.95,0.0237,hard_aug
synth-train-5290-paraphrase,train,0,"Abdul teri Fatima main toh hui, maulviyon ke saath soye-soye film bana raha hoon, ye film hit hogi ya flop?","🤣🤣👉👉अब्दुल तेरी फातिमा मैली हो गई, मौलवियों के साथ सोते-सोते😜   फिल्म बना रहा हूं, यह फिल्म हिट होगी या फ्लॉप?🤔🙈","Abdul tere fatima mai li hui, maulviyon ke saath soye-soye filam bana raha hun, ye filam hit hogi ya flop?",train_quarantine,paraphrase,0.8264,0,0.9,0.0236,hard_aug
synth-train-2199-paraphrase,train,0,Koi mere saath inbox me game khelega? Wrong answer dene wala kapade utarna wala game toh badiya hai ✌️😏,कोई मेरे साथ इनबॉक्स में गेम खेलेगी ?  कॉशन का गलत आंसर देने वाला कपड़े उतारेगा वो वाला गेम मस्त है ✌️😜,Koi mere saath inbox me game khelegi? Confusion ka galat answer deke wala kapade utarega wala game mast hai ✌️😜,train_quarantine,paraphrase,0.7576,0,0.8,0.0105,hard_aug
synth-val-5915-paraphrase,train,0,GalatI shantidoot ki ni hai kyunki woh apni Quran par chal rhe. GalatI hinduon ki hai jo aankh hone ke bawjood andhe hai aur budhhi hone ke bawjood budhihin bne hue hai.,*🛑गलती शांतिदूत की नही है क्योंकि वह अपनी कुरान पर चल रहे है ।*  *गलती हिन्दुओं की है जो 🤨आँख होते हुऐ भी अंधे है और 🤔बुद्धि होते हुऐ बुद्धि हीन बने है*,GalatI shantidoot ki nahein hai kyunki woh apni Quran par chal rhe hai. GalatI hinduon ki hai jo aankh hote hue bhi andhe hai aur budhi hote hue bhi budhihin banaye hue hai.,val_error,paraphrase,0.7911,0,0.9,0.0959,hard_aug
synth-train-15703-obfuscation,train,0,Pagal l@dk! mujhe m@rwaye.gi,पागल लड़की मुझ से मरवाएगी,Pagal ladki mujhe marwayegi,train_quarantine,obfuscation,0.5819,0,0.9,0.1585,hard_aug
